"","package_name","function_name"
"74","grDevices","quartz"
"75","grDevices","quartzFont"
"76","grDevices","quartzFonts"
"77","grDevices","quartz.options"
"78","grDevices","quartz.save"
"79","grDevices","rainbow"
"80","grDevices","recordGraphics"
"81","grDevices","recordPlot"
"82","grDevices","replayPlot"
"83","grDevices","rgb"
"84","grDevices","rgb2hsv"
"85","grDevices","savePlot"
"86","grDevices","setEPS"
"87","grDevices","setGraphicsEventEnv"
"88","grDevices","setGraphicsEventHandlers"
"89","grDevices","setPS"
"90","grDevices","svg"
"91","grDevices","terrain.colors"
"92","grDevices","tiff"
"93","grDevices","topo.colors"
"94","grDevices","trans3d"
"95","grDevices","Type1Font"
"96","grDevices","x11"
"97","grDevices","X11"
"98","grDevices","X11Font"
"99","grDevices","X11Fonts"
"100","grDevices","X11.options"
"101","grDevices","xfig"
"102","grDevices","xy.coords"
"103","grDevices","xyTable"
"104","grDevices","xyz.coords"
"105","methods","addNextMethod"
"106","methods","allGenerics"
"107","methods","allNames"
"108","methods","Arith"
"109","methods","as"
"110","methods","as<-"
"111","methods","asMethodDefinition"
"112","methods","assignClassDef"
"113","methods","assignMethodsMetaData"
"114","methods","balanceMethodsList"
"115","methods","body<-"
"116","methods","cacheGenericsMetaData"
"117","methods","cacheMetaData"
"118","methods","cacheMethod"
"119","methods","callGeneric"
"120","methods","callNextMethod"
"121","methods","canCoerce"
"122","methods","cbind2"
"123","methods","checkAtAssignment"
"124","methods","checkSlotAssignment"
"125","methods","classesToAM"
"126","methods","classLabel"
"127","methods","classMetaName"
"128","methods","className"
"129","methods","coerce"
"130","methods","coerce<-"
"131","methods","Compare"
"132","methods","completeClassDefinition"
"133","methods","completeExtends"
"134","methods","completeSubclasses"
"135","methods","Complex"
"136","methods","conformMethod"
"137","methods","defaultDumpName"
"138","methods","defaultPrototype"
"139","methods","doPrimitiveMethod"
"140","methods","dumpMethod"
"141","methods","dumpMethods"
"142","methods","el"
"143","methods","el<-"
"144","methods","elNamed"
"145","methods","elNamed<-"
"146","methods","empty.dump"
"147","methods","emptyMethodsList"
"148","methods","evalOnLoad"
"149","methods","evalqOnLoad"
"150","methods","evalSource"
"151","methods","existsFunction"
"152","methods","existsMethod"
"153","methods","extends"
"154","methods","finalDefaultMethod"
"155","methods","findClass"
"156","methods","findFunction"
"157","methods","findMethod"
"158","methods","findMethods"
"159","methods","findMethodSignatures"
"160","methods","findUnique"
"161","methods","fixPre1.8"
"162","methods","formalArgs"
"163","methods","functionBody"
"164","methods","functionBody<-"
"165","methods","generic.skeleton"
"166","methods","getAccess"
"167","methods","getAllMethods"
"168","methods","getAllSuperClasses"
"169","methods","getClass"
"170","methods","getClassDef"
"171","methods","getClasses"
"172","methods","getClassName"
"173","methods","getClassPackage"
"174","methods","getDataPart"
"175","methods","getExtends"
"176","methods","getFunction"
"177","methods","getGeneric"
"178","methods","getGenerics"
"179","methods","getGroup"
"180","methods","getGroupMembers"
"181","methods","getLoadActions"
"182","methods","getMethod"
"183","methods","getMethods"
"184","methods","getMethodsForDispatch"
"185","methods","getMethodsMetaData"
"186","methods","getPackageName"
"187","methods","getProperties"
"188","methods","getPrototype"
"189","methods","getRefClass"
"190","methods","getSlots"
"191","methods","getSubclasses"
"192","methods","getValidity"
"193","methods","getVirtual"
"194","methods","hasArg"
"195","methods","hasLoadAction"
"196","methods","hasMethod"
"197","methods","hasMethods"
"198","methods","implicitGeneric"
"199","methods","inheritedSlotNames"
"200","methods","initFieldArgs"
"201","methods","initialize"
"202","methods","initRefFields"
"203","methods","insertClassMethods"
"204","methods","insertMethod"
"205","methods","insertSource"
"206","methods","is"
"207","methods","isClass"
"208","methods","isClassDef"
"209","methods","isClassUnion"
"210","methods","isGeneric"
"211","methods","isGrammarSymbol"
"212","methods","isGroup"
"213","methods","isSealedClass"
"214","methods","isSealedMethod"
"215","methods","isVirtualClass"
"216","methods","isXS3Class"
"217","methods","kronecker"
"218","methods","languageEl"
"219","methods","languageEl<-"
"220","methods","linearizeMlist"
"221","methods","listFromMethods"
"222","methods","listFromMlist"
"223","methods","loadMethod"
"224","methods","Logic"
"225","methods","makeClassRepresentation"
"226","methods","makeExtends"
"227","methods","makeGeneric"
"228","methods","makeMethodsList"
"229","methods","makePrototypeFromClassDef"
"230","methods","makeStandardGeneric"
"231","methods","matchSignature"
"232","methods","Math"
"233","methods","Math2"
"234","methods","mergeMethods"
"235","methods","metaNameUndo"
"236","methods","MethodAddCoerce"
"237","methods","methodSignatureMatrix"
"238","methods","method.skeleton"
"239","methods","MethodsList"
"240","methods","MethodsListSelect"
"241","methods","methodsPackageMetaName"
"242","methods","missingArg"
"243","methods","mlistMetaName"
"244","methods","multipleClasses"
"245","methods","new"
"246","methods","newBasic"
"247","methods","newClassRepresentation"
"248","methods","newEmptyObject"
"249","methods","Ops"
"250","methods","packageSlot"
"251","methods","packageSlot<-"
"252","methods","possibleExtends"
"253","methods","prohibitGeneric"
"254","methods","promptClass"
"255","methods","promptMethods"
"256","methods","prototype"
"257","methods","Quote"
"258","methods","rbind2"
"259","methods","reconcilePropertiesAndPrototype"
"260","methods","registerImplicitGenerics"
"261","methods","rematchDefinition"
"262","methods","removeClass"
"263","methods","removeGeneric"
"264","methods","removeMethod"
"265","methods","removeMethods"
"266","methods","removeMethodsObject"
"267","methods","representation"
"268","methods","requireMethods"
"269","methods","resetClass"
"270","methods","resetGeneric"
"271","methods","S3Class"
"272","methods","S3Class<-"
"273","methods","S3Part"
"274","methods","S3Part<-"
"275","methods","sealClass"
"276","methods","seemsS4Object"
"277","methods","selectMethod"
"278","methods","selectSuperClasses"
"279","methods","setAs"
"280","methods","setClass"
"281","methods","setClassUnion"
"282","methods","setDataPart"
"283","methods","setGeneric"
"284","methods","setGenericImplicit"
"285","methods","setGroupGeneric"
"286","methods","setIs"
"287","methods","setLoadAction"
"288","methods","setLoadActions"
"289","methods","setMethod"
"290","methods","setOldClass"
"291","methods","setPackageName"
"292","methods","setPrimitiveMethods"
"293","methods","setRefClass"
"294","methods","setReplaceMethod"
"295","methods","setValidity"
"296","methods","show"
"297","methods","showClass"
"298","methods","showDefault"
"299","methods","showExtends"
"300","methods","showMethods"
"301","methods","showMlist"
"302","methods","signature"
"303","methods","SignatureMethod"
"304","methods","sigToEnv"
"305","methods","slot"
"306","methods","slot<-"
"307","methods","slotNames"
"308","methods","slotsFromS3"
"309","methods","substituteDirect"
"310","methods","substituteFunctionArgs"
"311","methods","Summary"
"312","methods","superClassDepth"
"313","methods","testInheritedMethods"
"314","methods","testVirtual"
"315","methods","traceOff"
"316","methods","traceOn"
"317","methods","tryNew"
"318","methods","unRematchDefinition"
"319","methods","validObject"
"320","methods","validSlotNames"
"321","stats","acf"
"322","stats","acf2AR"
"323","stats","add1"
"324","stats","addmargins"
"325","stats","add.scope"
"326","stats","aggregate"
"327","stats","aggregate.data.frame"
"328","stats","aggregate.ts"
"329","stats","AIC"
"330","stats","alias"
"331","stats","anova"
"332","stats","ansari.test"
"333","stats","aov"
"334","stats","approx"
"335","stats","approxfun"
"336","stats","ar"
"337","stats","ar.burg"
"338","stats","arima"
"339","stats","arima0"
"340","stats","arima0.diag"
"341","stats","arima.sim"
"342","stats","ARMAacf"
"343","stats","ARMAtoMA"
"344","stats","ar.mle"
"345","stats","ar.ols"
"346","stats","ar.yw"
"347","stats","as.dendrogram"
"348","stats","as.dist"
"349","stats","as.formula"
"350","stats","as.hclust"
"351","stats","asOneSidedFormula"
"352","stats","as.stepfun"
"353","stats","as.ts"
"354","stats","ave"
"355","stats","bandwidth.kernel"
"356","stats","bartlett.test"
"357","stats","BIC"
"358","stats","binomial"
"359","stats","binom.test"
"360","stats","biplot"
"361","stats","Box.test"
"362","stats","bw.bcv"
"363","stats","bw.nrd"
"364","stats","bw.nrd0"
"365","stats","bw.SJ"
"366","stats","bw.ucv"
"367","stats","C"
"368","stats","cancor"
"369","stats","case.names"
"370","stats","ccf"
"371","stats","chisq.test"
"372","stats","cmdscale"
"373","stats","coef"
"374","stats","coefficients"
"375","stats","complete.cases"
"376","stats","confint"
"377","stats","confint.default"
"378","stats","confint.lm"
"379","stats","constrOptim"
"380","stats","contrasts"
"381","stats","contrasts<-"
"382","stats","contr.helmert"
"383","stats","contr.poly"
"384","stats","contr.SAS"
"385","stats","contr.sum"
"386","stats","contr.treatment"
"387","stats","convolve"
"388","stats","cooks.distance"
"389","stats","cophenetic"
"390","stats","cor"
"391","stats","cor.test"
"392","stats","cov"
"393","stats","cov2cor"
"394","stats","covratio"
"395","stats","cov.wt"
"396","stats","cpgram"
"397","stats","cutree"
"398","stats","cycle"
"399","stats","D"
"400","stats","dbeta"
"401","stats","dbinom"
"402","stats","dcauchy"
"403","stats","dchisq"
"404","stats","decompose"
"405","stats","delete.response"
"406","stats","deltat"
"407","stats","dendrapply"
"408","stats","density"
"409","stats","density.default"
"410","stats","deriv"
"411","stats","deriv3"
"412","stats","deviance"
"413","stats","dexp"
"414","stats","df"
"415","stats","dfbeta"
"416","stats","dfbetas"
"417","stats","dffits"
"418","stats","df.kernel"
"419","stats","df.residual"
"420","stats","dgamma"
"421","stats","dgeom"
"422","stats","dhyper"
"423","stats","diffinv"
"424","stats","dist"
"425","stats","dlnorm"
"426","stats","dlogis"
"427","stats","dmultinom"
"428","stats","dnbinom"
"429","stats","dnorm"
"430","stats","dpois"
"431","stats","drop1"
"432","stats","drop.scope"
"433","stats","drop.terms"
"434","stats","dsignrank"
"435","stats","dt"
"436","stats","dummy.coef"
"437","stats","dummy.coef.lm"
"438","stats","dunif"
"439","stats","dweibull"
"440","stats","dwilcox"
"441","stats","ecdf"
"442","stats","eff.aovlist"
"443","stats","effects"
"444","stats","embed"
"445","stats","end"
"446","stats","estVar"
"447","stats","expand.model.frame"
"448","stats","extractAIC"
"449","stats","factanal"
"450","stats","factor.scope"
"451","stats","family"
"452","stats","fft"
"453","stats","filter"
"454","stats","fisher.test"
"455","stats","fitted"
"456","stats","fitted.values"
"457","stats","fivenum"
"458","stats","fligner.test"
"459","stats","formula"
"460","stats","frequency"
"461","stats","friedman.test"
"462","stats","ftable"
"463","stats","Gamma"
"464","stats","gaussian"
"465","stats","get_all_vars"
"466","stats","getCall"
"467","stats","getInitial"
"468","stats","glm"
"469","stats","glm.control"
"470","stats","glm.fit"
"471","stats","hasTsp"
"472","stats","hat"
"473","stats","hatvalues"
"474","stats","hclust"
"475","stats","heatmap"
"476","stats","HoltWinters"
"477","stats","influence"
"478","stats","influence.measures"
"479","stats","integrate"
"480","stats","interaction.plot"
"481","stats","inverse.gaussian"
"482","stats","IQR"
"483","stats","is.empty.model"
"484","stats","is.leaf"
"485","stats","is.mts"
"486","stats","isoreg"
"487","stats","is.stepfun"
"488","stats","is.ts"
"489","stats","is.tskernel"
"490","stats","KalmanForecast"
"491","stats","KalmanLike"
"492","stats","KalmanRun"
"493","stats","KalmanSmooth"
"494","stats","kernapply"
"495","stats","kernel"
"496","stats","kmeans"
"497","stats","knots"
"498","stats","kruskal.test"
"499","stats","ksmooth"
"500","stats","ks.test"
"501","stats","lag"
"502","stats","lag.plot"
"503","stats","line"
"504","stats","lm"
"505","stats","lm.fit"
"506","stats","lm.influence"
"507","stats","lm.wfit"
"508","stats","loadings"
"509","stats","loess"
"510","stats","loess.control"
"511","stats","loess.smooth"
"512","stats","logLik"
"513","stats","loglin"
"514","stats","lowess"
"515","stats","ls.diag"
"516","stats","lsfit"
"517","stats","ls.print"
"518","stats","mad"
"519","stats","mahalanobis"
"520","stats","makeARIMA"
"521","stats","make.link"
"522","stats","makepredictcall"
"523","stats","manova"
"524","stats","mantelhaen.test"
"525","stats","mauchly.test"
"526","stats","mcnemar.test"
"527","stats","median"
"528","stats","median.default"
"529","stats","medpolish"
"530","stats","model.extract"
"531","stats","model.frame"
"532","stats","model.frame.default"
"533","stats","model.matrix"
"534","stats","model.matrix.default"
"535","stats","model.matrix.lm"
"536","stats","model.offset"
"537","stats","model.response"
"538","stats","model.tables"
"539","stats","model.weights"
"540","stats","monthplot"
"541","stats","mood.test"
"542","stats","mvfft"
"543","stats","na.action"
"544","stats","na.contiguous"
"545","stats","na.exclude"
"546","stats","na.fail"
"547","stats","na.omit"
"548","stats","na.pass"
"549","stats","napredict"
"550","stats","naprint"
"551","stats","naresid"
"552","stats","nextn"
"553","stats","nlm"
"554","stats","nlminb"
"555","stats","nls"
"556","stats","nls.control"
"557","stats","NLSstAsymptotic"
"558","stats","NLSstClosestX"
"559","stats","NLSstLfAsymptote"
"560","stats","NLSstRtAsymptote"
"561","stats","nobs"
"562","stats","numericDeriv"
"563","stats","offset"
"564","stats","oneway.test"
"565","stats","optim"
"566","stats","optimHess"
"567","stats","optimise"
"568","stats","optimize"
"569","stats","order.dendrogram"
"570","stats","pacf"
"571","stats","p.adjust"
"572","stats","pairwise.prop.test"
"573","stats","pairwise.table"
"574","stats","pairwise.t.test"
"575","stats","pairwise.wilcox.test"
"576","stats","pbeta"
"577","stats","pbinom"
"578","stats","pbirthday"
"579","stats","pcauchy"
"580","stats","pchisq"
"581","stats","pexp"
"582","stats","pf"
"583","stats","pgamma"
"584","stats","pgeom"
"585","stats","phyper"
"586","stats","plclust"
"587","stats","plnorm"
"588","stats","plogis"
"589","stats","plot.ecdf"
"590","stats","plot.spec.coherency"
"591","stats","plot.spec.phase"
"592","stats","plot.stepfun"
"593","stats","plot.ts"
"594","stats","pnbinom"
"595","stats","pnorm"
"596","stats","poisson"
"597","stats","poisson.test"
"598","stats","poly"
"599","stats","polym"
"600","stats","power"
"601","stats","power.anova.test"
"602","stats","power.prop.test"
"603","stats","power.t.test"
"604","stats","ppoints"
"605","stats","ppois"
"606","stats","ppr"
"607","stats","PP.test"
"608","stats","prcomp"
"609","stats","predict"
"610","stats","predict.glm"
"611","stats","predict.lm"
"612","stats","preplot"
"613","stats","princomp"
"614","stats","printCoefmat"
"615","stats","profile"
"616","stats","proj"
"617","stats","promax"
"618","stats","prop.test"
"619","stats","prop.trend.test"
"620","stats","psignrank"
"621","stats","pt"
"622","stats","ptukey"
"623","stats","punif"
"624","stats","pweibull"
"625","stats","pwilcox"
"626","stats","qbeta"
"627","stats","qbinom"
"628","stats","qbirthday"
"629","stats","qcauchy"
"630","stats","qchisq"
"631","stats","qexp"
"632","stats","qf"
"633","stats","qgamma"
"634","stats","qgeom"
"635","stats","qhyper"
"636","stats","qlnorm"
"637","stats","qlogis"
"638","stats","qnbinom"
"639","stats","qnorm"
"640","stats","qpois"
"641","stats","qqline"
"642","stats","qqnorm"
"643","stats","qqplot"
"644","stats","qsignrank"
"645","stats","qt"
"646","stats","qtukey"
"647","stats","quade.test"
"648","stats","quantile"
"649","stats","quasi"
"650","stats","quasibinomial"
"651","stats","quasipoisson"
"652","stats","qunif"
"653","stats","qweibull"
"654","stats","qwilcox"
"655","stats","r2dtable"
"656","stats","rbeta"
"657","stats","rbinom"
"658","stats","rcauchy"
"659","stats","rchisq"
"660","stats","read.ftable"
"661","stats","rect.hclust"
"662","stats","reformulate"
"663","stats","relevel"
"664","stats","reorder"
"665","stats","replications"
"666","stats","reshape"
"667","stats","resid"
"668","stats","residuals"
"669","stats","residuals.glm"
"670","stats","residuals.lm"
"671","stats","rexp"
"672","stats","rf"
"673","stats","rgamma"
"674","stats","rgeom"
"675","stats","rhyper"
"676","stats","rlnorm"
"677","stats","rlogis"
"678","stats","rmultinom"
"679","stats","rnbinom"
"680","stats","rnorm"
"681","stats","rpois"
"682","stats","rsignrank"
"683","stats","rstandard"
"684","stats","rstudent"
"685","stats","rt"
"686","stats","runif"
"687","stats","runmed"
"688","stats","rweibull"
"689","stats","rwilcox"
"690","stats","rWishart"
"691","stats","scatter.smooth"
"692","stats","screeplot"
"693","stats","sd"
"694","stats","se.contrast"
"695","stats","selfStart"
"696","stats","setNames"
"697","stats","shapiro.test"
"698","stats","simulate"
"699","stats","smooth"
"700","stats","smoothEnds"
"701","stats","smooth.spline"
"702","stats","sortedXyData"
"703","stats","spec.ar"
"704","stats","spec.pgram"
"705","stats","spec.taper"
"706","stats","spectrum"
"707","stats","spline"
"708","stats","splinefun"
"709","stats","splinefunH"
"710","stats","SSasymp"
"711","stats","SSasympOff"
"712","stats","SSasympOrig"
"713","stats","SSbiexp"
"714","stats","SSD"
"715","stats","SSfol"
"716","stats","SSfpl"
"717","stats","SSgompertz"
"718","stats","SSlogis"
"719","stats","SSmicmen"
"720","stats","SSweibull"
"721","stats","start"
"722","stats","stat.anova"
"723","stats","step"
"724","stats","stepfun"
"725","stats","stl"
"726","stats","StructTS"
"727","stats","summary.aov"
"728","stats","summary.glm"
"729","stats","summary.lm"
"730","stats","summary.manova"
"731","stats","summary.stepfun"
"732","stats","supsmu"
"733","stats","symnum"
"734","stats","termplot"
"735","stats","terms"
"736","stats","terms.formula"
"737","stats","time"
"738","stats","toeplitz"
"739","stats","ts"
"740","stats","tsdiag"
"741","stats","ts.intersect"
"742","stats","tsp"
"743","stats","tsp<-"
"744","stats","ts.plot"
"745","stats","tsSmooth"
"746","stats","ts.union"
"747","stats","t.test"
"748","stats","TukeyHSD"
"749","stats","uniroot"
"750","stats","update"
"751","stats","update.default"
"752","stats","update.formula"
"753","stats","var"
"754","stats","variable.names"
"755","stats","varimax"
"756","stats","var.test"
"757","stats","vcov"
"758","stats","weighted.mean"
"759","stats","weighted.residuals"
"760","stats","weights"
"761","stats","wilcox.test"
"762","stats","window"
"763","stats","window<-"
"764","stats","write.ftable"
"765","stats","xtabs"
"766","utils","?"
"767","utils","adist"
"768","utils","alarm"
"769","utils","apropos"
"770","utils","aregexec"
"771","utils","argsAnywhere"
"772","utils","aspell"
"773","utils","aspell_package_C_files"
"774","utils","aspell_package_Rd_files"
"775","utils","aspell_package_R_files"
"776","utils","aspell_package_vignettes"
"777","utils","aspell_write_personal_dictionary_file"
"778","utils","as.person"
"779","utils","as.personList"
"780","utils","as.relistable"
"781","utils","as.roman"
"782","utils","assignInMyNamespace"
"783","utils","assignInNamespace"
"784","utils","available.packages"
"785","utils","bibentry"
"786","utils","browseEnv"
"787","utils","browseURL"
"788","utils","browseVignettes"
"789","utils","bug.report"
"790","utils","capture.output"
"791","utils","changedFiles"
"792","utils","checkCRAN"
"793","utils","chooseBioCmirror"
"794","utils","chooseCRANmirror"
"795","utils","citation"
"796","utils","cite"
"797","utils","citeNatbib"
"798","utils","citEntry"
"799","utils","citFooter"
"800","utils","citHeader"
"801","utils","close.socket"
"802","utils","combn"
"803","utils","compareVersion"
"804","utils","contrib.url"
"805","utils","count.fields"
"806","utils","CRAN.packages"
"807","utils","create.post"
"808","utils","data"
"809","utils","dataentry"
"810","utils","data.entry"
"811","utils","de"
"812","utils","debugger"
"813","utils","demo"
"814","utils","de.ncols"
"815","utils","de.restore"
"816","utils","de.setup"
"817","utils","download.file"
"818","utils","download.packages"
"819","utils","dump.frames"
"820","utils","edit"
"821","utils","emacs"
"822","utils","example"
"823","utils","file.edit"
"824","utils","fileSnapshot"
"825","utils","file_test"
"826","utils","find"
"827","utils","findLineNum"
"828","utils","fix"
"829","utils","fixInNamespace"
"830","utils","flush.console"
"831","utils","formatOL"
"832","utils","formatUL"
"833","utils","getAnywhere"
"834","utils","getCRANmirrors"
"835","utils","getFromNamespace"
"836","utils","getParseData"
"837","utils","getParseText"
"838","utils","getS3method"
"839","utils","getSrcDirectory"
"840","utils","getSrcFilename"
"841","utils","getSrcLocation"
"842","utils","getSrcref"
"843","utils","getTxtProgressBar"
"844","utils","glob2rx"
"845","utils","globalVariables"
"846","utils","head"
"847","utils","head.matrix"
"848","utils","help"
"849","utils","help.request"
"850","utils","help.search"
"851","utils","help.start"
"852","utils","history"
"853","utils","hsearch_db"
"854","utils","hsearch_db_concepts"
"855","utils","hsearch_db_keywords"
"856","utils","installed.packages"
"857","utils","install.packages"
"858","utils","is.relistable"
"859","utils","limitedLabels"
"860","utils","loadhistory"
"861","utils","localeToCharset"
"862","utils","lsf.str"
"863","utils","ls.str"
"864","utils","maintainer"
"865","utils","make.packages.html"
"866","utils","makeRweaveLatexCodeRunner"
"867","utils","make.socket"
"868","utils","memory.limit"
"869","utils","memory.size"
"870","utils","menu"
"871","utils","methods"
"872","utils","mirror2html"
"873","utils","modifyList"
"874","utils","new.packages"
"875","utils","news"
"876","utils","nsl"
"877","utils","object.size"
"878","utils","old.packages"
"879","utils","packageDescription"
"880","utils","packageName"
"881","utils","package.skeleton"
"882","utils","packageStatus"
"883","utils","packageVersion"
"884","utils","page"
"885","utils","person"
"886","utils","personList"
"887","utils","pico"
"888","utils","process.events"
"889","utils","prompt"
"890","utils","promptData"
"891","utils","promptImport"
"892","utils","promptPackage"
"893","utils","rc.getOption"
"894","utils","rc.options"
"895","utils","rc.settings"
"896","utils","rc.status"
"897","utils","readCitationFile"
"898","utils","read.csv"
"899","utils","read.csv2"
"900","utils","read.delim"
"901","utils","read.delim2"
"902","utils","read.DIF"
"903","utils","read.fortran"
"904","utils","read.fwf"
"905","utils","read.socket"
"906","utils","read.table"
"907","utils","recover"
"908","utils","relist"
"909","utils","remove.packages"
"910","utils","removeSource"
"911","utils","Rprof"
"912","utils","Rprofmem"
"913","utils","RShowDoc"
"914","utils","RSiteSearch"
"915","utils","rtags"
"916","utils","Rtangle"
"917","utils","RtangleSetup"
"918","utils","RtangleWritedoc"
"919","utils","RweaveChunkPrefix"
"920","utils","RweaveEvalWithOpt"
"921","utils","RweaveLatex"
"922","utils","RweaveLatexFinish"
"923","utils","RweaveLatexOptions"
"924","utils","RweaveLatexSetup"
"925","utils","RweaveLatexWritedoc"
"926","utils","RweaveTryStop"
"927","utils","savehistory"
"928","utils","select.list"
"929","utils","sessionInfo"
"930","utils","setBreakpoint"
"931","utils","setRepositories"
"932","utils","setTxtProgressBar"
"933","utils","stack"
"934","utils","Stangle"
"935","utils","str"
"936","utils","strOptions"
"937","utils","summaryRprof"
"938","utils","suppressForeignCheck"
"939","utils","Sweave"
"940","utils","SweaveHooks"
"941","utils","SweaveSyntConv"
"942","utils","tail"
"943","utils","tail.matrix"
"944","utils","tar"
"945","utils","timestamp"
"946","utils","toBibtex"
"947","utils","toLatex"
"948","utils","txtProgressBar"
"949","utils","type.convert"
"950","utils","unstack"
"951","utils","untar"
"952","utils","unzip"
"953","utils","update.packages"
"954","utils","update.packageStatus"
"955","utils","upgrade"
"956","utils","URLdecode"
"957","utils","URLencode"
"958","utils","url.show"
"959","utils","vi"
"960","utils","View"
"961","utils","vignette"
"962","utils","write.csv"
"963","utils","write.csv2"
"964","utils","write.socket"
"965","utils","write.table"
"966","utils","xedit"
"967","utils","xemacs"
"968","utils","zip"
"969","graphics","abline"
"970","graphics","arrows"
"971","graphics","assocplot"
"972","graphics","axis"
"973","graphics","Axis"
"974","graphics","axis.Date"
"975","graphics","axis.POSIXct"
"976","graphics","axTicks"
"977","graphics","barplot"
"978","graphics","barplot.default"
"979","graphics","box"
"980","graphics","boxplot"
"981","graphics","boxplot.default"
"982","graphics","boxplot.matrix"
"983","graphics","bxp"
"984","graphics","cdplot"
"985","graphics","clip"
"986","graphics","close.screen"
"987","graphics","co.intervals"
"988","graphics","contour"
"989","graphics","contour.default"
"990","graphics","coplot"
"991","graphics","curve"
"992","graphics","dotchart"
"993","graphics","erase.screen"
"994","graphics","filled.contour"
"995","graphics","fourfoldplot"
"996","graphics","frame"
"997","graphics","grconvertX"
"998","graphics","grconvertY"
"999","graphics","grid"
"1000","graphics","hist"
"1001","graphics","hist.default"
"1002","graphics","identify"
"1003","graphics","image"
"1004","graphics","image.default"
"1005","graphics","layout"
"1006","graphics","layout.show"
"1007","graphics","lcm"
"1008","graphics","legend"
"1009","graphics","lines"
"1010","graphics","lines.default"
"1011","graphics","locator"
"1012","graphics","matlines"
"1013","graphics","matplot"
"1014","graphics","matpoints"
"1015","graphics","mosaicplot"
"1016","graphics","mtext"
"1017","graphics","pairs"
"1018","graphics","pairs.default"
"1019","graphics","panel.smooth"
"1020","graphics","par"
"1021","graphics","persp"
"1022","graphics","pie"
"1023","graphics","plot"
"1024","graphics","plot.default"
"1025","graphics","plot.design"
"1026","graphics","plot.function"
"1027","graphics","plot.new"
"1028","graphics","plot.window"
"1029","graphics","plot.xy"
"1030","graphics","points"
"1031","graphics","points.default"
"1032","graphics","polygon"
"1033","graphics","polypath"
"1034","graphics","rasterImage"
"1035","graphics","rect"
"1036","graphics","rug"
"1037","graphics","screen"
"1038","graphics","segments"
"1039","graphics","smoothScatter"
"1040","graphics","spineplot"
"1041","graphics","split.screen"
"1042","graphics","stars"
"1043","graphics","stem"
"1044","graphics","strheight"
"1045","graphics","stripchart"
"1046","graphics","strwidth"
"1047","graphics","sunflowerplot"
"1048","graphics","symbols"
"1049","graphics","text"
"1050","graphics","text.default"
"1051","graphics","title"
"1052","graphics","xinch"
"1053","graphics","xspline"
"1054","graphics","xyinch"
"1055","graphics","yinch"
"1056","base","^"
"1057","base","~"
"1058","base","<"
"1059","base","<<-"
"1060","base","<="
"1061","base","<-"
"1062","base","="
"1063","base","=="
"1064","base",">"
"1065","base",">="
"1066","base","|"
"1067","base","||"
"1068","base","-"
"1069","base",":"
"1070","base","::"
"1071","base",":::"
"1072","base","!"
"1073","base","!="
"1074","base","/"
"1075","base","("
"1076","base","["
"1077","base","[<-"
"1078","base","[["
"1079","base","[[<-"
"1080","base","{"
"1081","base","@"
"1082","base","@<-"
"1083","base","$"
"1084","base","$<-"
"1085","base","*"
"1086","base","&"
"1087","base","&&"
"1088","base","%/%"
"1089","base","%*%"
"1090","base","%%"
"1091","base","+"
