pkg1,pkg2,n
boot,hoa,4
BrailleR,TeachingDemos,4
cacIRT,irtoys,4
chron,RcppBDT,4
citbcmst,citccmst,4
CRTSize,epibasix,4
cwhmisc,pracma,4
Davies,fBasics,4
deal,network,4
dplyr,scidb,4
dplyr,taRifx,4
DynamicDistribution,mboost,4
EBEN,EBglmnet,4
EDR,edrGraphicalTools,4
EnvStats,PtProcess,4
ESEA,MiRSEA,4
evd,ordinal,4
evd,reliaR,4
evir,FAdist,4
FAdist,fExtremes,4
FAdist,ordinal,4
FAdist,reliaR,4
FAdist,texmex,4
FAdist,VaRES,4
faraway,VGAM,4
fBasics,pracma,4
flexsurv,VGAM,4
fts,lubridate,4
GLDEX,Lmoments,4
gtools,rje,4
h2o,tis,4
HMM,tileHMM,4
intervals,sets,4
itertools,itertools2,4
Kmisc,pracma,4
LearnBayes,mnormt,4
lubridate,mondate,4
matrixStats,recommenderlab,4
mc2d,Rlab,4
Metrics,mlr,4
MLmetrics,qualV,4
mlr,rgp,4
mosaic,scidb,4
mosaic,seqinr,4
ordinal,reliaR,4
PivotalR,RandomFields,4
pracma,RcppFaddeeva,4
PresenceAbsence,SDMTools,4
PtProcess,VGAM,4
qrmtools,Renext,4
qualV,staTools,4
rapportools,ROptEstOld,4
RcppBDT,splusTimeDate,4
rsem,semdiag,4
sads,VGAM,4
seqMeta,skatMeta,4
splus2R,timeSeries,4
timetools,tis,4
actuar,eha,3
actuar,extremevalues,3
actuar,flexsurv,3
actuar,sads,3
actuar,STAR,3
addreg,logbin,3
ade4,mixOmics,3
ALS,TIMP,3
aod,ycinterextra,3
ape,igraph,3
arm,psych,3
assertive,sjmisc,3
assertive.types,tester,3
AUC,PresenceAbsence,3
base,Hmisc,3
base,mosaic,3
base,relax,3
base,uniqueAtomMat,3
BBEST,shiny,3
BBmisc,rapport,3
BBmisc,rapportools,3
bda,VGAM,3
BenfordTests,VGAM,3
binhf,EbayesThresh,3
bio3d,mdatools,3
bio3d,seqinr,3
blm,lava,3
Blossom,phaseR,3
bnlearn,deal,3
Brobdingnag,rapportools,3
broman,klaR,3
broman,SciencesPo,3
car,lessR,3
caret,InformationValue,3
caret,mixOmics,3
CHNOSZ,psych,3
CHNOSZ,seqinr,3
CHNOSZ,tis,3
coda,prevalence,3
coin,exactRankTests,3
compositions,mosaic,3
cplm,ycinterextra,3
crch,msm,3
crunch,rapportools,3
cwhmisc,schoolmath,3
cwhmisc,STAR,3
cwhmisc,statmod,3
data.table,fts,3
data.table,h2o,3
data.table,taRifx,3
data.table,tis,3
DescTools,numbers,3
devtools,packrat,3
DiceEval,nsRFA,3
distr,rapportools,3
documair,mc2d,3
dostats,dplyr,3
dplyr,gdata,3
dplyr,Hmisc,3
dplyr,mosaic,3
DPw,lmeNBBayes,3
drc,qpcR,3
drm,survival,3
e1071,moments,3
e1071,Sim.DiffProc,3
elliptic,pracma,3
emil,mlr,3
EnvStats,extRemes,3
EnvStats,extremevalues,3
EnvStats,FAdist,3
EnvStats,metRology,3
EnvStats,rapportools,3
EnvStats,sads,3
EnvStats,SciencesPo,3
epitools,fmsb,3
eurostat,SmarterPoland,3
EvCombR,rebus,3
evd,gumbel,3
evd,RTDE,3
expectreg,VGAM,3
extremevalues,PtProcess,3
extremevalues,VGAM,3
FAdist,gumbel,3
faraway,fma,3
faraway,SciencesPo,3
fBasics,openintro,3
fma,MASS,3
fossil,sprex,3
functools,parallelize.dynamic,3
gdata,RcppBDT,3
geophys,pracma,3
ggm,pracma,3
gimme,quantspec,3
GLDEX,sfsmisc,3
grnn,pnn,3
growthmodels,phaseR,3
gumbel,ordinal,3
gumbel,reliaR,3
gumbel,VGAM,3
h2o,solaR,3
Hmisc,Zelig,3
hoa,sand,3
hydroGOF,Metrics,3
hydroGOF,mlr,3
hydroGOF,rgp,3
igraph,LSAfun,3
ips,phyloclim,3
kernlab,pracma,3
kyotil,lava,3
kyotil,rje,3
labdsv,mdatools,3
lambda.tools,neuroim,3
lava,memisc,3
lava,psych,3
lava,VGAM,3
limSolve,lsei,3
logcondens,logcondens.mode,3
magrittr,pracma,3
magrittr,QCAtools,3
magrittr,testthat,3
matlab,optimbase,3
matlab,psd,3
mdatools,mixOmics,3
meta,metaSEM,3
Metrics,rgp,3
Metrics,scorer,3
MLmetrics,staTools,3
moments,SciencesPo,3
moments,Sim.DiffProc,3
monmlp,qrnn,3
mosaic,PivotalR,3
MRSP,RVAideMemoire,3
nlreg,sand,3
NMF,ycinterextra,3
numDeriv,pracma,3
OpenRepGrid,raster,3
openxlsx,XLConnect,3
openxlsx,xlsx,3
optimbase,PopED,3
optimbase,pracma,3
optimbase,ramify,3
paramlink,phylobase,3
phonTools,pracma,3
phonTools,raster,3
phylobase,phyloland,3
pracma,psd,3
prettyR,SciencesPo,3
psych,VGAM,3
psych,Zelig,3
PtProcess,sads,3
quadrupen,ycinterextra,3
R2MLwiN,ycinterextra,3
rapportools,SciencesPo,3
rapportools,stats,3
raster,SciencesPo,3
raster,userfriendlyscience,3
RcppRoll,seismicRoll,3
Renext,VGAM,3
rgl,vrmlgen,3
rotations,VGAM,3
rphast,TimeMachine,3
RTDE,VGAM,3
RVAideMemoire,SciencesPo,3
sadists,SharpeR,3
sensitivitymv,sensitivitymw,3
solaR,tis,3
sparseHessianFD,trustOptim,3
splusTimeDate,timeDate,3
splusTimeSeries,timeSeries,3
STAR,statmod,3
stats,ycinterextra,3
tester,testthat,3
timeDate,tis,3
triangle,VGAM,3
VGAM,ycinterextra,3
wavelets,waveslim,3
ACDm,VaRES,2
acid,reldist,2
acid,tcR,2
acp,amap,2
actuar,ActuDistns,2
actuar,ARTIVA,2
actuar,arules,2
actuar,EDISON,2
actuar,MCMCpack,2
actuar,phcfM,2
ActuDistns,EnvStats,2
ActuDistns,evd,2
ActuDistns,extremevalues,2
ActuDistns,PtProcess,2
ActuDistns,RTDE,2
ActuDistns,sads,2
adegenet,elasticnet,2
adehabitat,mlr,2
adehabitat,rfishbase,2
adehabitat,SDMTools,2
adehabitat,spatstat,2
agricolae,Davies,2
agricolae,distrEx,2
agricolae,DistributionUtils,2
agricolae,e1071,2
agricolae,EnvStats,2
agricolae,ExpDes,2
agricolae,ExpDes.pt,2
agricolae,GLDEX,2
agricolae,HyperbolicDist,2
agricolae,moments,2
agricolae,npde,2
agricolae,PerformanceAnalytics,2
agricolae,propagate,2
agricolae,rapport,2
agricolae,rapportools,2
agricolae,ROptEstOld,2
agricolae,saemix,2
agricolae,SciencesPo,2
agricolae,Sim.DiffProc,2
agricolae,timeDate,2
agricolae,TSA,2
agrmt,bio3d,2
agrmt,NMF,2
AICcmodavg,MuMIn,2
AICcmodavg,qpcR,2
algstat,EvCombR,2
algstat,rebus,2
alm,rplos,2
alr3,faraway,2
alr3,prLogistic,2
alr3,SciencesPo,2
alr3,UsingR,2
alr4,faraway,2
alr4,UsingR,2
amen,eigenmodel,2
anacor,psych,2
analogsea,igraph,2
analogsea,SciencesPo,2
analogue,bootstrap,2
analogue,DMwR,2
analogue,mlr,2
analogue,pls,2
anfis,ycinterextra,2
aods3,bda,2
aods3,ergm,2
aods3,hydroGOF,2
ape,dendextend,2
ape,hierfstat,2
ape,raster,2
ape,seqinr,2
ape,spatstat,2
ape,SphericalCubature,2
aplpack,relax,2
APSIMBatch,gdata,2
apTreeshape,phyloTop,2
arf3DS4,PBSmodelling,2
arf3DS4,PET,2
arf3DS4,TIMP,2
arf3DS4,TLBC,2
argosfilter,swfscMisc,2
arm,asypow,2
arm,FatTailsR,2
arm,gap,2
arm,logitnorm,2
arm,mosaic,2
arm,pls,2
arm,portfolio,2
arm,secr,2
arrayhelpers,neuroim,2
ARTIVA,MCMCpack,2
ARTIVA,phcfM,2
ARTIVA,simecol,2
arules,base64,2
arules,hashids,2
asbio,fungible,2
asbio,labstatR,2
asbio,nsRFA,2
asbio,PresenceAbsence,2
asbio,prettyR,2
asbio,Rlab,2
asbio,SciencesPo,2
asbio,SDMTools,2
asbio,Zelig,2
assertive,dendextendRcpp,2
assertive,magrittr,2
assertive.base,tester,2
assertive.base,testthat,2
assertive.numbers,magrittr,2
assertive.numbers,sjmisc,2
assertive.properties,purrr,2
assertive.properties,testthat,2
assertive.types,dendextendRcpp,2
assertthat,rapport,2
assertthat,rapportools,2
aster,aster2,2
astro,pracma,2
astrochron,fts,2
astrochron,Kmisc,2
astrochron,raster,2
astrochron,RSEIS,2
astrochron,secr,2
astsa,igraph,2
asypow,FatTailsR,2
asypow,gap,2
asypow,logitnorm,2
asypow,secr,2
AtmRay,RPMG,2
aTSA,tseries,2
AUC,caret,2
AUC,Daim,2
AUC,InformationValue,2
AUC,pROC,2
AUC,spatstat,2
AUC,StatMeasures,2
b6e6rl,cmaes,2
BaM,base,2
BaM,distr,2
BaM,LTPDvar,2
BAMMtools,boot,2
BAMMtools,gtools,2
BAMMtools,hSDM,2
BAMMtools,phcfM,2
base,gmailr,2
base64,hashids,2
BAT,chemosensors,2
BAT,SDMTools,2
bayesm,MSBVAR,2
bayou,VaRES,2
bbefkr,bbemkr,2
bbefkr,EngrExpt,2
BBmisc,editrules,2
BBmisc,Kmisc,2
bbmle,rebmix,2
bbmle,ycinterextra,2
bda,fmsb,2
bda,VaRES,2
BDgraph,camel,2
BDgraph,dfcrm,2
BDgraph,fastclime,2
BDgraph,flare,2
BDgraph,huge,2
BDgraph,picasso,2
Benchmarking,sfa,2
berryFunctions,TLBC,2
BIGDAWG,epiDisplay,2
bimixt,distr,2
bimixt,elliptic,2
Binarize,BiTrinA,2
BinNonNor,BinNor,2
BinNor,PoisBinNonNor,2
BinNor,PoisBinOrd,2
binom,epitools,2
bio3d,CHNOSZ,2
bio3d,labdsv,2
bio3d,NMF,2
bio3d,peplib,2
bio3d,phyclust,2
bio3d,Rpdb,2
bio3d,seqRFLP,2
BioMark,ROC632,2
BioPhysConnectoR,psych,2
bios2mds,shapes,2
bit,Kmisc,2
blm,BTSPAS,2
blm,clusterPower,2
blm,kyotil,2
blm,maptpx,2
blm,osDesign,2
blm,rgr,2
blm,rje,2
blockTools,MTurkR,2
bnlearn,surveillance,2
boot,cond,2
boot,faraway,2
boot,gtools,2
boot,hSDM,2
boot,lava,2
boot,marg,2
boot,oce,2
boot,phcfM,2
boot,pracma,2
boot,psych,2
boot,VGAM,2
bootstrap,faraway,2
bootstrap,resample,2
bootstrap,SciencesPo,2
bReeze,lessR,2
bReeze,lubridate,2
bReeze,stats,2
broman,cwhmisc,2
BSDA,MEMSS,2
BSDA,nlme,2
BSDA,timeDate,2
bst,quantileDA,2
BTSPAS,clusterPower,2
BTSPAS,kyotil,2
BTSPAS,lava,2
BTSPAS,osDesign,2
BTSPAS,rgr,2
BTSPAS,rje,2
bWGR,NAM,2
CaDENCE,monmlp,2
CaDENCE,psych,2
calibrate,vegan,2
calibrator,ecotoxicology,2
calibrator,quantspec,2
camel,dfcrm,2
camel,fastclime,2
camel,picasso,2
car,SciencesPo,2
caret,DiceEval,2
caret,mdatools,2
caret,nsRFA,2
caret,PresenceAbsence,2
caret,SDMTools,2
caret,spls,2
catIrt,catR,2
CCA,mixOmics,2
cccp,FindMinIC,2
cgam,StatDA,2
ChainLadder,ycinterextra,2
checkmate,fda,2
checkmate,gsDesign,2
checkmate,QCAGUI,2
checkmate,Rcmdr,2
cheddar,EpiContactTrace,2
chemometrics,compositions,2
chemometrics,Hotelling,2
chemometrics,rgr,2
ChemometricsWithR,FactoMineR,2
ChemoSpec,mdatools,2
ChemoSpec,micropan,2
CHNOSZ,Hmisc,2
CHNOSZ,multiplex,2
CHNOSZ,NMF,2
CHNOSZ,raster,2
CHsharp,distr,2
CINOEDV,Jmisc,2
CINOEDV,matlab,2
CINOEDV,PopED,2
CINOEDV,pracma,2
CINOEDV,tictoc,2
CircStats,cwhmisc,2
CircStats,EnvStats,2
CircStats,metRology,2
CircStats,VGAM,2
circular,cwhmisc,2
circular,mosaic,2
circular,rapportools,2
class,FNN,2
classify,ltm,2
CLME,coxme,2
CLME,nlme,2
CLME,varComp,2
clusterPower,kyotil,2
clusterPower,lava,2
clusterPower,maptpx,2
clusterPower,osDesign,2
clusterPower,rgr,2
clusterPower,rje,2
cmvnorm,condMVNorm,2
coda,multitable,2
coefficientalpha,Zelig,2
coin,maxstat,2
ColorPalette,colortools,2
combinat,degreenet,2
complmrob,ggtern,2
complmrob,robCompositions,2
compositions,cwhmisc,2
compositions,Hotelling,2
compositions,MBCluster.Seq,2
compositions,nsRFA,2
compositions,rgr,2
conf.design,sfsmisc,2
copBasic,crp.CSFP,2
corclass,yacca,2
corpcor,lqmm,2
corrgram,SciViews,2
crayon,shinyjs,2
crch,dtt,2
CRM,dfcrm,2
crp.CSFP,multivator,2
crp.CSFP,psych,2
crunch,qdap,2
crunch,SciencesPo,2
csampling,LearnBayes,2
csampling,mnormt,2
CVTuningCov,FinCovRegularization,2
cwhmisc,elliptic,2
cwhmisc,kyotil,2
cwhmisc,matlab,2
cwhmisc,multipol,2
cwhmisc,mycor,2
cwhmisc,psd,2
cwhmisc,rebus,2
cwhmisc,R.utils,2
cwhmisc,SciViews,2
DAAG,DAAGxtras,2
DAAG,faraway,2
DAAG,SciencesPo,2
daewr,MASS,2
DAMisc,xpose4,2
DataLoader,MALDIquantForeign,2
datamap,devtools,2
data.table,dplyr,2
data.table,mondate,2
data.table,solaR,2
data.table,timetools,2
Davies,distrEx,2
Davies,DistributionUtils,2
Davies,e1071,2
Davies,EnvStats,2
Davies,GLDEX,2
Davies,HyperbolicDist,2
Davies,moments,2
Davies,npde,2
Davies,PerformanceAnalytics,2
Davies,propagate,2
Davies,rapport,2
Davies,rapportools,2
Davies,ROptEstOld,2
Davies,saemix,2
Davies,SciencesPo,2
Davies,Sim.DiffProc,2
Davies,timeDate,2
Davies,TSA,2
dcemriS4,oro.pet,2
dcmle,multitable,2
ddR,dplyr,2
ddR,DSL,2
deal,gWidgets,2
deal,gWidgets2,2
deal,gWidgetstcltk,2
deal,simcausal,2
deamer,VGAM,2
degreenet,pracma,2
depmix,depmixS4,2
depmixS4,mclust,2
DescTools,dynamicGraph,2
DescTools,lessR,2
DescTools,MLmetrics,2
DescTools,polynom,2
DescTools,PolynomF,2
DescTools,QuantPsyc,2
devtools,flowr,2
devtools,itsmr,2
devtools,R.oo,2
dfcrm,fastclime,2
dfcrm,flare,2
dfcrm,huge,2
dfcrm,picasso,2
dglars,sglasso,2
DiceDesign,LPCM,2
DiceEval,MLmetrics,2
DiceEval,qualV,2
DiceEval,SimDesign,2
DiceEval,staTools,2
DirichletReg,gtools,2
DirichletReg,krm,2
DirichletReg,mc2d,2
DirichletReg,MCMCpack,2
DirichletReg,MSBVAR,2
DirichletReg,rje,2
DirichletReg,SciencesPo,2
discreteRV,distrMod,2
discreteRV,ROptEstOld,2
DiscreteWeibull,VaRES,2
dismo,SciencesPo,2
distr,dplyr,2
distr,FME,2
distr,giRaph,2
distr,htmltools,2
distr,onion,2
distr,OPDOE,2
distr,pracma,2
distr,scuba,2
distr,shiny,2
distr,spTDyn,2
distr,spTimer,2
distr,TiddlyWikiR,2
distrEx,DistributionUtils,2
distrEx,e1071,2
distrEx,EnvStats,2
distrEx,GLDEX,2
distrEx,HyperbolicDist,2
distrEx,moments,2
distrEx,mosaic,2
distrEx,npde,2
distrEx,PerformanceAnalytics,2
distrEx,propagate,2
distrEx,rapport,2
distrEx,saemix,2
distrEx,SciencesPo,2
distrEx,TSA,2
DistributionUtils,e1071,2
DistributionUtils,EnvStats,2
DistributionUtils,GLDEX,2
DistributionUtils,moments,2
DistributionUtils,npde,2
DistributionUtils,PerformanceAnalytics,2
DistributionUtils,propagate,2
DistributionUtils,rapport,2
DistributionUtils,rapportools,2
DistributionUtils,ROptEstOld,2
DistributionUtils,saemix,2
DistributionUtils,SciencesPo,2
DistributionUtils,Sim.DiffProc,2
DistributionUtils,timeDate,2
DistributionUtils,TSA,2
distrMod,giRaph,2
distrMod,qtlDesign,2
docopulae,gvcm.cat,2
DoseFinding,drc,2
DoseFinding,monmlp,2
DoseFinding,rcppbugs,2
dostats,gdata,2
dostats,pastecs,2
dostats,pryr,2
dostats,purrr,2
dostats,taRifx,2
dostats,xts,2
dplyr,elastic,2
dplyr,LPM,2
dplyr,pastecs,2
dplyr,seqinr,2
dplyr,twitteR,2
dplyr,untb,2
dplyr,xts,2
dplyr,Zelig,2
drm,sampling,2
dse,vars,2
dummy,SciencesPo,2
dynamicGraph,igraph,2
dynamicGraph,lessR,2
dynamicGraph,phylobase,2
dynamicGraph,phyloland,2
dynamicGraph,rapportools,2
dynamicGraph,simsem,2
dynamicGraph,TiddlyWikiR,2
e1071,EnvStats,2
e1071,GENEAread,2
e1071,GLDEX,2
e1071,HyperbolicDist,2
e1071,npde,2
e1071,PerformanceAnalytics,2
e1071,propagate,2
e1071,PST,2
e1071,pvar,2
e1071,rapport,2
e1071,rapportools,2
e1071,ROptEstOld,2
e1071,saemix,2
e1071,SciencesPo,2
e1071,timeDate,2
e1071,TSA,2
e1071,tsDyn,2
EBS,TIMP,2
ecodist,labdsv,2
ecodist,raster,2
EDISON,MCMCpack,2
EDISON,phcfM,2
editrules,igraph,2
editrules,purrr,2
eha,VaRES,2
eiPack,ldbounds,2
elliptic,epiDisplay,2
elliptic,lessR,2
elliptic,lme4,2
elliptic,mosaic,2
elliptic,pegas,2
elliptic,sfsmisc,2
elliptic,sn,2
EMC,EMCC,2
EMCluster,mixture,2
EMD,emdist,2
emdbook,VGAM,2
emil,hydroGOF,2
emil,Metrics,2
emil,PST,2
emil,raster,2
emil,rgp,2
emil,R.utils,2
EMMIXskew,fossil,2
EMMIXuskew,mnormt,2
EMMIXuskew,sn,2
emulator,pdR,2
enaR,pack,2
EngrExpt,fma,2
EngrExpt,igraph,2
EngrExpt,MASS,2
EngrExpt,portfolio,2
EngrExpt,spatstat,2
EngrExpt,tidyr,2
entropart,MCPAN,2
entropart,polysat,2
entropy,infotheo,2
EnvStats,GLDEX,2
EnvStats,HyperbolicDist,2
EnvStats,moments,2
EnvStats,npde,2
EnvStats,PerformanceAnalytics,2
EnvStats,propagate,2
EnvStats,rapport,2
EnvStats,Rlab,2
EnvStats,ROptEstOld,2
EnvStats,saemix,2
EnvStats,Sim.DiffProc,2
EnvStats,survey,2
EnvStats,timeDate,2
EnvStats,TSA,2
EnvStats,VaRES,2
Epi,pracma,2
epiDisplay,kernlab,2
epiDisplay,mice,2
epiDisplay,psych,2
epiR,RcmdrPlugin.EZR,2
equate,RobAStBase,2
equate,ROptEstOld,2
eRm,mirt,2
eRm,RaschSampler,2
ESEA,MPINet,2
evir,VaRES,2
expm,pracma,2
ExtDist,logcondiscr,2
ExtDist,VaRES,2
extremevalues,sads,2
FactMixtAnalysis,quantileDA,2
FactoMineR,MVar.pt,2
faraway,HSAUR2,2
faraway,HSAUR3,2
faraway,pracma,2
fastclime,flare,2
fastclime,huge,2
fastclime,picasso,2
fastR,UsingR,2
FatTailsR,gap,2
FatTailsR,logitnorm,2
FatTailsR,secr,2
fBasics,MHadaptive,2
fBasics,ramify,2
fBasics,splusTimeSeries,2
FBN,mmand,2
fdrtool,VaRES,2
fechner,smacof,2
fExpressCertificates,sde,2
fExpressCertificates,Sim.DiffProc,2
fExtremes,VaRES,2
ff,utils,2
fGarch,ycinterextra,2
FIACH,gmm,2
FIACH,mmand,2
FIACH,pracma,2
FinancialInstrument,maRketSim,2
FinCal,tvm,2
FindMinIC,iRegression,2
flare,picasso,2
flexclust,micropan,2
flexsurv,VaRES,2
flowr,packrat,2
flowr,params,2
fma,itsmr,2
FME,spTDyn,2
FME,spTimer,2
fOptions,randtoolbox,2
forecast,hdrcde,2
forecast,MSBVAR,2
forecast,TSA,2
foreign,RWeka,2
foreign,shapefiles,2
fossil,prabclus,2
frailtypack,lava,2
frailtypack,lcmm,2
Frames2,TeachingSampling,2
fRegression,ycinterextra,2
FSA,lisp,2
FSA,schoolmath,2
FSA,userfriendlyscience,2
fscaret,MLmetrics,2
fscaret,qualV,2
fscaret,staTools,2
fslr,matlab,2
ftnonpar,wavethresh,2
fts,FunCluster,2
fts,h2o,2
fts,mondate,2
fts,OpenRepGrid,2
fts,solaR,2
fts,timetools,2
fts,tis,2
FunCluster,NLP,2
FunCluster,OpenRepGrid,2
functional,functools,2
functools,memisc,2
fungible,labstatR,2
fungible,nsRFA,2
fungible,psych,2
fungible,Rlab,2
fUnitRoots,urca,2
GaDiFPT,radir,2
gam,gamlss,2
gamlss,secr,2
gap,lava,2
gap,logitnorm,2
gap,psych,2
gap,secr,2
gaston,pegas,2
GCAI.bias,kyotil,2
gclus,igraph,2
GCPM,lava,2
gdata,kyotil,2
gdata,pastecs,2
gdata,R.utils,2
gdata,taRifx,2
gdata,xts,2
geiger,psych,2
GeneralizedHyperbolic,GIGrvg,2
genetics,SNPassoc,2
geo,GEOmap,2
GeoGenetix,Sunder,2
geonames,mapmisc,2
geophys,NORMT3,2
geophys,RcppFaddeeva,2
geophys,VGAM,2
geoR,geostatsp,2
ggm,ppcor,2
ggm,RVAideMemoire,2
ggtern,robCompositions,2
ggvis,laeken,2
ghyp,GIGrvg,2
GIGrvg,HyperbolicDist,2
gistr,RNeo4j,2
git2r,htmltools,2
git2r,httr,2
git2r,purrr,2
git2r,shiny,2
GLDEX,HyperbolicDist,2
GLDEX,moments,2
GLDEX,muStat,2
GLDEX,npde,2
GLDEX,PerformanceAnalytics,2
GLDEX,propagate,2
GLDEX,randtoolbox,2
GLDEX,rapport,2
GLDEX,rapportools,2
GLDEX,ROptEstOld,2
GLDEX,saemix,2
GLDEX,SciencesPo,2
GLDEX,Sim.DiffProc,2
GLDEX,splus2R,2
GLDEX,timeDate,2
GLDEX,TSA,2
glmnet,sdwd,2
gmailr,lessR,2
gmp,pracma,2
gmp,schoolmath,2
gmp,sfsmisc,2
gnm,pracma,2
goft,gPdtest,2
goftest,nortest,2
gplots,seriation,2
GRaF,R2BayesX,2
gskat,kinship2,2
gstat,sgeostat,2
gtools,HelpersMG,2
gtools,hSDM,2
gtools,krm,2
gtools,mc2d,2
gtools,MCMCpack,2
gtools,MSBVAR,2
gtools,phcfM,2
gtools,SciencesPo,2
gumbel,VaRES,2
gvc,taxize,2
gvcm.cat,htmltools,2
gvcm.cat,MRSP,2
gvcm.cat,shiny,2
gWidgets,logging,2
gWidgets2,logging,2
h2o,lubridate,2
haplo.stats,ibdreg,2
hbsae,nsRFA,2
hdeco,PatternClass,2
heavy,LearnBayes,2
heavy,mnormt,2
heavy,MVT,2
HiddenMarkov,logistf,2
HiddenMarkov,mixlm,2
HiddenMarkov,RRNA,2
HiddenMarkov,tileHMM,2
highfrequency,quantmod,2
Hmisc,plyr,2
Hmisc,raster,2
Hmisc,SciencesPo,2
Hmisc,tis,2
HMM,logistf,2
HMM,mixlm,2
HMM,RRNA,2
Hotelling,rgr,2
hSDM,phcfM,2
