fn,pkg1,pkg2
adj.rle,rapport,rapportools
adjusted,cherry,multcomp
adjust,ffmanova,InfDim
adjust,ffmanova,robCompositions
adjust,ffmanova,rspa
adjust,ffmanova,xergm.common
adjust,InfDim,robCompositions
adjust,InfDim,rspa
adjust,InfDim,xergm.common
adjust,robCompositions,rspa
adjust,robCompositions,xergm.common
adjust,rspa,xergm.common
ad.test,ADGofTest,goftest
ad.test,ADGofTest,kSamples
ad.test,ADGofTest,nortest
ad.test,ADGofTest,truncgof
ad.test,goftest,kSamples
ad.test,goftest,nortest
ad.test,goftest,truncgof
ad.test,kSamples,nortest
ad.test,kSamples,truncgof
ad.test,nortest,truncgof
ae,Metrics,scorer
aep,bReeze,gamlss.data
aes,ggplot2,ggtern
afc,amap,NominalLogisticBiplot
affinity,arules,CHNOSZ
affinity,arules,hot.deck
affinity,chemosensors,CHNOSZ
affinity,chemosensors,hot.deck
affinity,CHNOSZ,hot.deck
af,HardyWeinberg,mplot
af,HardyWeinberg,refund
af,mplot,refund
africa,BaM,faraway
a,GaDiFPT,gvcm.cat
a,GaDiFPT,htmltools
a,GaDiFPT,ocomposition
a,GaDiFPT,radir
a,GaDiFPT,seqinr
a,GaDiFPT,shiny
agefat,HSAUR,HSAUR2
agefat,HSAUR,HSAUR3
agg,MAc,MAd
Aggregate,aCRM,AggregateR
Aggregate,aCRM,data.tree
Aggregate,aCRM,DCL
Aggregate,aCRM,Information
Aggregate,aCRM,memisc
Aggregate,AggregateR,data.tree
Aggregate,AggregateR,DCL
Aggregate,AggregateR,Information
Aggregate,AggregateR,memisc
Aggregate,data.tree,DCL
Aggregate,data.tree,Information
Aggregate,data.tree,memisc
Aggregate,DCL,Information
Aggregate,DCL,memisc
Aggregate,Information,memisc
aggr,hbsae,VIM
aggrs,MAc,RcmdrPlugin.MA
agreement,Agreement,agrmt
ag.test,onewaytests,spgs
a,gvcm.cat,htmltools
a,gvcm.cat,ocomposition
a,gvcm.cat,radir
a,gvcm.cat,seqinr
a,gvcm.cat,shiny
a,htmltools,ocomposition
a,htmltools,radir
a,htmltools,seqinr
AIC3,randomLCA,rebmix
AIC,aod,rebmix
AIC,aod,survMisc
AIC,bbmle,rebmix
AIC,bbmle,survMisc
AICc,AICcmodavg,BMhyd
AICc,AICcmodavg,Dark
AICc,AICcmodavg,evobiR
AICc,AICcmodavg,gamlr
AICc,AICcmodavg,MuMIn
AICc,AICcmodavg,qpcR
AICc,AICcmodavg,rebmix
AICc,AICcmodavg,sme
AICc,bbmle,BMhyd
AICc,bbmle,Dark
AICc,bbmle,evobiR
AICc,bbmle,gamlr
AICc,bbmle,MuMIn
AICc,bbmle,qpcR
AICc,bbmle,rebmix
AICc,bbmle,sme
AICc,BMhyd,Dark
AICc,BMhyd,evobiR
AICc,BMhyd,ExtDist
AICc,BMhyd,gambin
AICc,BMhyd,gamlr
AICc,BMhyd,ibr
AICc,BMhyd,MuMIn
AICc,BMhyd,phangorn
AICc,BMhyd,qpcR
AICc,BMhyd,rebmix
AICc,BMhyd,rstpm2
AICc,BMhyd,sads
AICc,BMhyd,sem
AICc,BMhyd,sme
AICc,BMhyd,survMisc
AICc,ExtDist,gamlr
AICc,ExtDist,MuMIn
AICc,ExtDist,qpcR
AICc,ExtDist,rebmix
AICc,ExtDist,sme
AICc,gambin,gamlr
AICc,gambin,MuMIn
AICc,gambin,qpcR
AICc,gambin,rebmix
AICc,gambin,sme
AICc,gamlr,ibr
AICc,gamlr,MuMIn
AICc,gamlr,phangorn
AICc,gamlr,qpcR
AICc,gamlr,rebmix
AICc,gamlr,rstpm2
AICc,gamlr,sads
AICc,gamlr,sem
AICc,gamlr,sme
AICc,gamlr,survMisc
AICc,gamlr,VGAM
AICc,ibr,MuMIn
AICc,ibr,qpcR
AICc,ibr,rebmix
AICc,ibr,sme
AICc,MuMIn,phangorn
AICc,MuMIn,qpcR
AICc,MuMIn,rebmix
AICc,MuMIn,rstpm2
AICc,MuMIn,sads
AICc,BMhyd,VGAM
AICc,Dark,evobiR
AICc,Dark,ExtDist
AICc,Dark,gambin
AICc,Dark,gamlr
AICc,Dark,ibr
AICc,Dark,MuMIn
AICc,Dark,phangorn
AICc,Dark,qpcR
AICc,Dark,rebmix
AICc,Dark,rstpm2
AICc,Dark,sads
AICc,Dark,sem
AICc,Dark,sme
AICc,Dark,survMisc
AICc,Dark,VGAM
AICc,evobiR,ExtDist
AICc,evobiR,gambin
AICc,evobiR,gamlr
AICc,evobiR,ibr
AICc,evobiR,MuMIn
AICc,evobiR,phangorn
AICc,evobiR,qpcR
AICc,evobiR,rebmix
AICc,evobiR,rstpm2
AICc,evobiR,sads
AICc,evobiR,sem
AICc,evobiR,sme
AICc,evobiR,survMisc
AICc,evobiR,VGAM
AICc,MuMIn,sem
AICc,MuMIn,sme
AICc,MuMIn,survMisc
AICc,MuMIn,VGAM
AICc,phangorn,qpcR
AICc,phangorn,rebmix
AICc,phangorn,sme
AIC,cplm,rebmix
AIC,cplm,survMisc
AICc,qpcR,rebmix
AICc,qpcR,rstpm2
AICc,qpcR,sads
AICc,qpcR,sem
AICc,qpcR,sme
AICc,qpcR,survMisc
AICc,qpcR,VGAM
AICc,rebmix,rstpm2
AICc,rebmix,sads
AICc,rebmix,sem
AICc,rebmix,sme
AICc,rebmix,survMisc
AICc,rebmix,VGAM
AICc,rstpm2,sme
AICc,sads,sme
AICc,sem,sme
AICc,sme,survMisc
AICc,sme,VGAM
AIC,ghyp,rebmix
AIC,ghyp,survMisc
aic,glmulti,label.switching
aic,glmulti,locfit
aic,glmulti,nadiv
AIC,HAP.ROR,rebmix
AIC,HAP.ROR,survMisc
aic,label.switching,locfit
aic,label.switching,nadiv
aic,locfit,nadiv
AIC,MRSP,rebmix
AIC,MRSP,survMisc
AIC,rebmix,retimes
AIC,rebmix,rstpm2
AIC,rebmix,sads
AIC,rebmix,spacom
AIC,rebmix,stats
AIC,rebmix,stats4
AIC,rebmix,survMisc
AIC,rebmix,VGAM
AIC,retimes,survMisc
AIC,rstpm2,survMisc
AIC,sads,survMisc
AIC,spacom,survMisc
AIC,stats4,survMisc
AIC,stats,survMisc
AIC,survMisc,VGAM
aictab,AICcmodavg,RSA
aids,boot,cond
aids,boot,gamlss.data
aids,boot,hoa
aids,boot,JM
aids,boot,JMbayes
aids,cond,gamlss.data
aids,cond,JM
aids,cond,JMbayes
aids,gamlss.data,hoa
aids,gamlss.data,JM
aids,gamlss.data,JMbayes
aids,hoa,JM
aids,hoa,JMbayes
Ainv,onion,PEIP
aircraft,robustbase,sm
Airline,BSDA,Ecdat
airls.ridge,AdaptFit,AdaptFitOS
airpass,faraway,fma
airpass,faraway,itsmr
airpass,fma,itsmr
airpollution,bild,fastR
ais,alr3,DAAG
ais,alr3,dr
ais,alr4,DAAG
ais,alr4,dr
ais,DAAG,dr
Aitken,MetabolAnalyze,upclass
akimaInterp,fBasics,pracma
alarm,bnlearn,utils
Alcohol,BSDA,mosaicData
allShortestPaths,e1071,RNeo4j
All,SuperLearner,tables
almeAux,AdaptFit,AdaptFitOS
alpha,ACTCD,BAT
alpha,ACTCD,bentcableAR
alpha,ACTCD,chemosensors
alpha,ACTCD,cherry
alpha,ACTCD,coefficientalpha
alpha,ACTCD,coin
alpha,ACTCD,crp.CSFP
alpha,ACTCD,epiDisplay
alpha,ACTCD,itsadug
alpha,ACTCD,kernlab
alpha,ACTCD,plspm
alpha,ACTCD,psych
alpha,ACTCD,psychometric
alpha,ACTCD,rebus
alpha,ACTCD,scales
alpha,ACTCD,Zelig
alpha,BAT,bentcableAR
alpha,BAT,chemosensors
alpha,BAT,cherry
alpha,BAT,coefficientalpha
alpha,BAT,coin
alpha,BAT,crp.CSFP
alpha,BAT,epiDisplay
alpha,BAT,itsadug
alpha,BAT,kernlab
alpha,BAT,plspm
alpha,BAT,psych
alpha,BAT,psychometric
alpha,BAT,rebus
alpha,BAT,scales
alpha,BAT,Zelig
alpha,bentcableAR,chemosensors
alpha,bentcableAR,cherry
alpha,bentcableAR,coefficientalpha
alpha,bentcableAR,coin
alpha,bentcableAR,crp.CSFP
alpha,bentcableAR,epiDisplay
alpha,bentcableAR,itsadug
alpha,bentcableAR,kernlab
alpha,bentcableAR,plspm
alpha,bentcableAR,psych
alpha,bentcableAR,psychometric
alpha,bentcableAR,rebus
alpha,bentcableAR,scales
alpha,bentcableAR,Zelig
alphabet,sequences,TraMineR
alphabet,TraMineR,VLMC
ALPHA,cepp,rebus
alpha,chemosensors,coefficientalpha
alpha,chemosensors,coin
alpha,chemosensors,epiDisplay
alpha,chemosensors,itsadug
alpha,chemosensors,plspm
alpha,chemosensors,psych
alpha,chemosensors,psychometric
alpha,chemosensors,rebus
alpha,chemosensors,scales
alpha,chemosensors,Zelig
alpha,cherry,coefficientalpha
alpha,cherry,coin
alpha,cherry,epiDisplay
alpha,cherry,itsadug
alpha,cherry,plspm
alpha,cherry,psych
alpha,cherry,psychometric
alpha,cherry,rebus
alpha,cherry,scales
alpha,cherry,Zelig
alpha,coefficientalpha,coin
alpha,coefficientalpha,crp.CSFP
alpha,coefficientalpha,epiDisplay
alpha,coefficientalpha,itsadug
alpha,coefficientalpha,kernlab
alpha,coefficientalpha,plspm
alpha,coefficientalpha,psych
alpha,coefficientalpha,psychometric
alpha,coefficientalpha,rebus
alpha,coefficientalpha,scales
alpha,coefficientalpha,Zelig
alpha,coin,crp.CSFP
alpha,coin,epiDisplay
alpha,coin,itsadug
alpha,coin,kernlab
alpha,coin,plspm
alpha,coin,psych
alpha,coin,psychometric
alcohol,robustbase,tigerstats
Alfalfa,MEMSS,nlme
algae,DMwR,drc
algorithm,baseline,igraph
algorithm,geoknife,igraph
algorithm,igraph,NMF
algorithm,igraph,sybil
aliases,crunch,FrF2
align,LSD,splusTimeSeries
align,LSD,TiddlyWikiR
align,LSD,timeDate
align,LSD,timeSeries
align,LSD,wavelets
align,LSD,xtable
align,splusTimeSeries,TiddlyWikiR
align,splusTimeSeries,timeDate
align,splusTimeSeries,timeSeries
align,splusTimeSeries,wavelets
align,splusTimeSeries,xtable
align,TiddlyWikiR,wavelets
align,timeDate,wavelets
align,timeSeries,wavelets
align,wavelets,xtable
alike.integer,rapport,rapportools
allEffects,effects,RSiena
allele.count,genetics,hierfstat
allelic.richness,hierfstat,strataG
All,functools,SuperLearner
All,functools,tables
allocate,lulcc,tbart
alpha,kernlab,scales
alpha,kernlab,Zelig
alpha,plspm,psych
alpha,plspm,psychometric
alpha,plspm,rebus
alpha,plspm,scales
alpha,plspm,Zelig
alpha,psychometric,rebus
alpha,psychometric,scales
alpha,psychometric,Zelig
alpha,psych,psychometric
alpha,psych,rebus
alpha,psych,scales
alpha,psych,Zelig
alpha,rebus,scales
alpha,rebus,Zelig
alpha,scales,Zelig
alr,chemometrics,compositions
alr,chemometrics,Hotelling
alr,chemometrics,rgr
alr,chemometrics,seqinr
alr,compositions,Hotelling
alr,compositions,rgr
alr,compositions,seqinr
alr,Hotelling,rgr
alr,Hotelling,seqinr
alr,rgr,seqinr
aml,boot,survival
am,lubridate,varComp
amova,ade4,pegas
alpha,coin,rebus
alpha,coin,scales
alpha,coin,Zelig
alpha,crp.CSFP,epiDisplay
alpha,crp.CSFP,itsadug
alpha,crp.CSFP,plspm
alpha,crp.CSFP,psych
alpha,crp.CSFP,psychometric
alpha,crp.CSFP,rebus
alpha,crp.CSFP,scales
alpha,crp.CSFP,Zelig
alpha,epiDisplay,itsadug
alpha,epiDisplay,kernlab
alpha,epiDisplay,plspm
alpha,epiDisplay,psych
alpha,epiDisplay,psychometric
alpha,epiDisplay,rebus
alpha,epiDisplay,scales
alpha,epiDisplay,Zelig
alpha,itsadug,kernlab
alpha,itsadug,plspm
alpha,itsadug,psych
alpha,itsadug,psychometric
alpha,itsadug,rebus
alpha,itsadug,scales
alpha,itsadug,Zelig
alpha,kernlab,plspm
alpha,kernlab,psych
alpha,kernlab,psychometric
alpha,kernlab,rebus
ancova_to_d2,MAc,MAd
and,magrittr,pracma
and,magrittr,QCAtools
and,magrittr,softclassval
and,pracma,QCAtools
and,pracma,softclassval
and,QCAtools,softclassval
andrews,andrews,deTestSet
andrews,andrews,tourr
andrews,deTestSet,tourr
angle,CAvariants,cwhmisc
angle,CAvariants,dagR
angle,CAvariants,moonsun
angle,CAvariants,pracma
angle,CAvariants,Rpdb
angle,cwhmisc,dagR
angle,cwhmisc,moonsun
angle,cwhmisc,pracma
angle,cwhmisc,Rpdb
angle,dagR,moonsun
angle,dagR,pracma
angle,dagR,Rpdb
angle,moonsun,pracma
angle,moonsun,Rpdb
angle,pracma,Rpdb
angles,adehabitat,gogarch
angular,asremlPlus,glmx
animals,cluster,cowsay
animate,gridSVG,tourr
animate,raster,tourr
amp,seacarb,TIMP
analyze,binseqtest,crackR
analyze,binseqtest,simsem
analyze,crackR,GCPM
analyze,crackR,rivernet
analyze,crackR,simsem
analyzeData,readMLData,solaR
analyze,GCPM,simsem
analyze,rivernet,simsem
ancestor,apTreeshape,phylobase
ancestor,apTreeshape,phyloland
ancestor,phylobase,phyloland
ancestors,dynamicGraph,Oncotree
ancestors,dynamicGraph,paramlink
ancestors,dynamicGraph,phylobase
ancestors,dynamicGraph,phyloland
ancestors,dynamicGraph,seedy
ancestors,Oncotree,paramlink
ancestors,Oncotree,phylobase
ancestors,Oncotree,phyloland
ancestors,Oncotree,seedy
ancestors,paramlink,phylobase
ancestors,paramlink,phyloland
ancestors,paramlink,seedy
ancestors,phylobase,phyloland
ancestors,phylobase,seedy
ancestors,phyloland,seedy
anchors,anchors,kfigr
ancova_to_d1,MAc,MAd
animate,surveillance,tourr
animationOptions,shiny,shinybootstrap2
anneal,likelihood,subselect
annotate,FunCluster,ggplot2
annotate,FunCluster,NLP
annotate,FunCluster,solarius
annotate,ggplot2,NLP
annotate,ggplot2,solarius
annotate,NLP,solarius
annotation,GenABEL,genoPlotR
annotation,genoPlotR,memisc
annotations,FunCluster,NLP
annotations,FunCluster,rsnps
annotations,NLP,rsnps
anonymize,anonymizer,Morpho
anovadot,KERE,kerndwd
anovadot,KERE,kernlab
anovadot,kerndwd,kernlab
antibio,aod,aods3
anyDuplicated.matrix,base,uniqueAtomMat
anylength,futile.any,lambda.tools
anyMissing,checkmate,matrixStats
anyMissing,checkmate,muStat
anyMissing,checkmate,splus2R
anyMissing,matrixStats,muStat
anyMissing,matrixStats,splus2R
anyMissing,muStat,splus2R
anynames,futile.any,lambda.tools
anytypes,futile.any,lambda.tools
a,ocomposition,radir
array,cda,mondate
arrayInd,base,rje
arrow,ggtern,pathdiagram
arrow,ggtern,WaveletComp
arrow,grid,pathdiagram
arrow,grid,WaveletComp
arrow,pathdiagram,WaveletComp
arrows3D,compositions,plot3D
Arrows,Ecfun,IDPmisc
Arrows,Ecfun,shape
Arrows,IDPmisc,shape
art,ARTool,PEIP
ARToPacf,arfima,FitAR
arw,mvoutlier,StatDA
as.alignment,ape,seqinr
as.asc,adehabitat,SDMTools
asBias,distrMod,ROptEstOld
as.bugs.array,R2OpenBUGS,R2WinBUGS
asc2spixdf,adehabitat,adehabitatMA
ascgen,adehabitat,adehabitatMA
asc,gtools,HelpersMG
as.character.Sym,rSymPy,Ryacas
ASCII,cwhmisc,R.oo
asCov,distrMod,ROptEstOld
as_data_frame,dplyr,igraph
as.Date.numeric,base,zoo
as.difftime,base,mondate
as.difftime,lubridate,mondate
as.DList,ddR,DSL
a,ocomposition,seqinr
a,ocomposition,shiny
ao,fds,lqa
apca,FinTS,MTS
apc,CHNOSZ,StMoMo
api,irtoys,rAmCharts
aplot,astro,compactr
aplus,compositions,magic
Append,BSDA,SSDforR
apple,apple,daewr
apply.daily,rts,xts
Apply,functools,parallelize.dynamic
apply.monthly,rts,xts
apply.quarterly,rts,xts
applyTransform,Morpho,RNiftyReg
apply.weekly,rts,xts
apply.yearly,rts,xts
aps,aplore3,yhat
AR1,codadiags,CVTuningCov
AR1,codadiags,kyotil
AR1,codadiags,quantspec
AR1,codadiags,VGAM
AR1,CVTuningCov,kyotil
AR1,CVTuningCov,quantspec
AR1,CVTuningCov,VGAM
AR1,kyotil,quantspec
AR1,kyotil,VGAM
AR1,quantspec,VGAM
a,radir,seqinr
a,radir,shiny
assert,assertr,checkmate
assert,assertr,gtools
assert,assertr,restorepoint
assert,assertr,testit
assert,assertr,testthatsomemore
assert,checkmate,gtools
assert,checkmate,restorepoint
assert,checkmate,testit
assert,checkmate,testthatsomemore
assert,gtools,restorepoint
assert,gtools,testit
assert,gtools,testthatsomemore
as.mcmc.spT,spTDyn,spTimer
as.monthly,precintcon,statar
asMSE,distrMod,ROptEstOld
as.network,deal,network
asNumericMatrix,Hmisc,spatstat
asOneFormula,lqmm,nlme
aspect,insol,SDMTools
aspirin,HSAUR,HSAUR2
aspirin,HSAUR,HSAUR3
as.polylist,polynom,PolynomF
as.quarterly,statar,tframePlus
as.rectangular,splus2R,splusTimeSeries
as.regex,rebus,rex
Assay,MEMSS,nlme
asSeriesData,splus2R,splusTimeSeries
assert,restorepoint,testit
assert,restorepoint,testthatsomemore
auc,asbio,HandTill2001
auc,asbio,kulife
auc,asbio,MESS
auc,asbio,Metrics
auc,asbio,mlr
auc,asbio,PK
auc,asbio,PresenceAbsence
auc,asbio,pROC
auc,asbio,qwraps2
auc,asbio,SDMTools
auc,asbio,spatstat
auc,asbio,StatMeasures
auc,AUC,Daim
auc,AUC,enrichvs
auc,AUC,flux
auc,AUC,glmnet
auc,AUC,HandTill2001
auc,AUC,kulife
auc,AUC,MESS
auc,AUC,Metrics
auc,AUC,mlr
auc,AUC,PK
auc,AUC,PresenceAbsence
auc,AUC,pROC
auc,AUC,qwraps2
auc,AUC,SDMTools
auc,AUC,spatstat
auc,AUC,StatMeasures
AUC,BioMark,cvAUC
AUC,BioMark,DescTools
auc,Daim,SDMTools
auc,Daim,StatMeasures
AUC,DescTools,detect
AUC,DescTools,dynpred
AUC,DescTools,mada
AUC,DescTools,mboost
AUC,DescTools,MKmisc
AUC,DescTools,MLmetrics
AUC,DescTools,optAUC
AUC,DescTools,ROC632
AUC,DescTools,sensR
AUC,DescTools,sROC
AUC,detect,dynpred
AUC,detect,mboost
AUC,detect,MKmisc
AUC,detect,MLmetrics
AUC,detect,optAUC
AUC,detect,ROC632
AUC,detect,sROC
AUC,dynpred,mada
AUC,dynpred,mboost
AUC,dynpred,MKmisc
AUC,dynpred,MLmetrics
AUC,dynpred,optAUC
AUC,dynpred,ROC632
AUC,dynpred,sensR
AUC,dynpred,sROC
auc,enrichvs,flux
auc,enrichvs,glmnet
auc,enrichvs,HandTill2001
auc,glmnet,PresenceAbsence
auc,glmnet,pROC
auc,glmnet,qwraps2
auc,glmnet,SDMTools
auc,glmnet,spatstat
auc,glmnet,StatMeasures
auc,HandTill2001,kulife
auc,HandTill2001,MESS
auc,HandTill2001,Metrics
auc,HandTill2001,mlr
auc,HandTill2001,PK
auc,HandTill2001,PresenceAbsence
auc,HandTill2001,SDMTools
auc,HandTill2001,StatMeasures
auc,kulife,MESS
auc,kulife,Metrics
auc,kulife,mlr
auc,kulife,PK
auc,kulife,PresenceAbsence
auc,kulife,pROC
auc,kulife,qwraps2
auc,kulife,SDMTools
auc,kulife,spatstat
auc,kulife,StatMeasures
AUC,mada,mboost
AUC,mada,MKmisc
AUC,mada,MLmetrics
AUC,mada,optAUC
AUC,mada,ROC632
AUC,mada,sROC
as.loglevel,log4r,Xmisc
as.ltraj,adehabitat,adehabitatLT
as.mask,neuroim,spatstat
as.matrix,adegenet,proxy
as.matrix,base,proxy
as.matrix,bigmemory,proxy
as.matrix,dcmle,proxy
as.matrix,DepthProc,proxy
as.matrix,filematrix,proxy
as.matrix,gaston,proxy
as.matrix,haplotypes,proxy
as.matrix,intervals,proxy
as.matrix,MALDIquant,proxy
as.matrix,MatrixEQTL,proxy
as.matrix,Matrix,proxy
as.matrix,multivator,proxy
as.matrix,neuroim,proxy
as.matrix,OutbreakTools,proxy
as.matrix,penalized,proxy
as.Matrix,phangorn,qlcMatrix
as.matrix,plumbr,proxy
as.matrix,prevalence,proxy
as.matrix,proxy,quanteda
as.matrix,proxy,raster
as.matrix,proxy,smint
as.matrix,proxy,softImpute
as.matrix,proxy,spam
as.matrix,proxy,SparseM
as.matrix,proxy,timeSeries
as.mcmc.bugs,emdbook,mcmcplots
AUC,MLmetrics,sensR
AUC,MLmetrics,sROC
auc,mlr,PK
auc,mlr,PresenceAbsence
auc,mlr,pROC
auc,mlr,qwraps2
auc,mlr,SDMTools
auc,mlr,spatstat
auc,mlr,StatMeasures
AUC,optAUC,ROC632
AUC,optAUC,sensR
AUC,optAUC,sROC
auc,PK,PresenceAbsence
auc,PK,pROC
auc,PK,qwraps2
auc,PK,SDMTools
auc,PK,spatstat
auc,PK,StatMeasures
auc,PresenceAbsence,pROC
auc,PresenceAbsence,qwraps2
auc,PresenceAbsence,SDMTools
auc,PresenceAbsence,spatstat
auc,PresenceAbsence,StatMeasures
auc,pROC,SDMTools
auc,pROC,StatMeasures
auc,qwraps2,SDMTools
auc,qwraps2,StatMeasures
AUC,ROC632,sensR
AUC,ROC632,sROC
auc,SDMTools,spatstat
assert,testit,testthatsomemore
assignment,adagio,blockTools
assignment,adagio,MTurkR
assignment,blockTools,MTurkR
assignments,MTurkR,SCRT
as.tensor,rTensor,tensorA
as.TermDocumentMatrix,qdap,tm
as.tnet,bipartite,tnet
asUnOvShoot,distrMod,ROptEstOld
atan2,base,RandomFields
atan2,PivotalR,RandomFields
atan2,RandomFields,raster
atan,base,RandomFields
atanh,base,RandomFields
Atkinson,DescTools,ineq
atr,bioPN,sbioPN
attach.all,R2OpenBUGS,R2WinBUGS
attach.bugs,R2OpenBUGS,R2WinBUGS
atten,MAc,MAd
attitudes,cusp,tigerstats
attpol2area,adehabitat,adehabitatMA
attribute,geoknife,verification
auc,asbio,AUC
auc,asbio,Daim
auc,asbio,enrichvs
auc,asbio,flux
auc,asbio,glmnet
backward,HiddenMarkov,logistf
backward,HiddenMarkov,mixlm
backward,HiddenMarkov,RRNA
backward,HiddenMarkov,tileHMM
backward,HMM,logistf
backward,HMM,mixlm
backward,HMM,RRNA
backward,HMM,tileHMM
backward,logistf,mixlm
backward,logistf,RRNA
backward,logistf,tileHMM
backward,mixlm,RRNA
backward,mixlm,tileHMM
backward,RRNA,tileHMM
bacteria,EngrExpt,MASS
bacteria,EngrExpt,qqtest
bacteria,MASS,qqtest
B,addreg,crp.CSFP
B,addreg,hyperdirichlet
B,addreg,logbin
B,addreg,multicool
B,addreg,multivator
B,addreg,qualvar
B,addreg,vars
bag,caret,DStree
bagging,adabag,bagRboostR
bagging,adabag,ipred
bagging,bagRboostR,ipred
balance,ape,arm
AUC,BioMark,detect
AUC,BioMark,dynpred
AUC,BioMark,mada
AUC,BioMark,mboost
AUC,BioMark,MKmisc
AUC,BioMark,MLmetrics
AUC,BioMark,optAUC
AUC,BioMark,ROC632
AUC,BioMark,sensR
AUC,BioMark,sROC
AUC,cvAUC,DescTools
AUC,cvAUC,detect
AUC,cvAUC,dynpred
AUC,cvAUC,mada
AUC,cvAUC,mboost
AUC,cvAUC,MKmisc
AUC,cvAUC,MLmetrics
AUC,cvAUC,optAUC
AUC,cvAUC,ROC632
AUC,cvAUC,sensR
AUC,cvAUC,sROC
auc,Daim,enrichvs
auc,Daim,flux
auc,Daim,glmnet
auc,Daim,kulife
auc,Daim,MESS
auc,Daim,Metrics
auc,Daim,mlr
auc,Daim,PK
auc,Daim,PresenceAbsence
auc,enrichvs,kulife
auc,enrichvs,MESS
auc,enrichvs,Metrics
auc,enrichvs,mlr
auc,enrichvs,PK
auc,enrichvs,PresenceAbsence
auc,enrichvs,pROC
auc,enrichvs,qwraps2
auc,enrichvs,SDMTools
auc,enrichvs,spatstat
